[ 0.  0. 10.],[28.  0. 10.],[62  0 10],[78  0 10]
[ 0.02649846  0.49704631 11.57049387],[28.00517837  0.         10.59338213],[62  0 10],[78  0 10]
[ 0.10595456  1.01008846 13.13916967],[28.02071189  0.         11.18658312],[62  0 10],[78  0 10]
[ 0.23825069  1.53803249 14.70421417],[28.04659582  0.         11.77942264],[62  0 10],[78  0 10]
[ 0.42319114  2.07975263 16.26382124],[28.08282231  0.         12.37172032],[62  0 10],[78  0 10]
[ 0.6605023   2.63409255 17.81619351],[28.12938028  0.         12.96329544],[62  0 10],[78  0 10]
[ 0.94983377  3.19986982 19.35955003],[28.18625559  0.         13.55396802],[62  0 10],[78  0 10]
[ 1.29075847  3.77587608 20.89212522],[28.25343085  0.         14.1435577 ],[62  0 10],[78  0 10]
[ 1.68277418  4.36088092 22.41217615],[28.33088563  0.         14.73188518],[62  0 10],[78  0 10]
[ 2.12530443  4.95363341 23.9179849 ],[28.41859647  0.         15.31877212],[62  0 10],[78  0 10]
[ 2.617699    5.55286603 25.40785701],[28.51653636  0.         15.90403785],[62  0 10],[78  0 10]
[ 3.07342322  5.60352567 26.89681447],[28.62467573  0.         16.48750566],[62  0 10],[78  0 10]
[ 3.57070334  5.6506627  28.37111358],[28.74298152  0.         17.06899724],[62  0 10],[78  0 10]
[ 4.10904156  5.69424184 29.82948963],[28.87141773  0.         17.64833557],[62  0 10],[78  0 10]
[ 4.68789938  5.73423131 31.2706951 ],[29.00994525  0.         18.22534424],[62  0 10],[78  0 10]
[ 5.30669815  5.77060097 32.69350156],[29.15852187  0.         18.7998474 ],[62  0 10],[78  0 10]
[ 5.96481977  5.80332592 34.09670031],[29.31710232  0.         19.37167002],[62  0 10],[78  0 10]
[ 6.66160683  5.83238205 35.47910355],[29.48563828  0.         19.94063792],[62  0 10],[78  0 10]
[ 7.39636516  5.85774965 36.83954831],[29.66407855  0.         20.50657813],[62  0 10],[78  0 10]
[ 8.16836214  5.87941099 38.17689307],[29.85236853  0.         21.06931753],[62  0 10],[78  0 10]
[ 8.97682909  5.89735254 39.49002264],[30.05045096  0.         21.62868505],[62  0 10],[78  0 10]
[ 9.82096244  5.9115623  40.77784913],[30.2582656   0.         22.18451054],[62  0 10],[78  0 10]
[10.69992377  5.922033   42.03931116],[30.47574908  0.         22.7366245 ],[62  0 10],[78  0 10]
[11.61283977  5.92875866 43.27337499],[30.70283489  0.         23.28485816],[62  0 10],[78  0 10]
[12.55880711  5.93173734 44.47904023],[30.93945442  0.         23.82904582],[62  0 10],[78  0 10]
[13.53688886  5.9309703  45.65533386],[31.18553511  0.         24.36902062],[62  0 10],[78  0 10]
[14.54611844  5.92646235 46.8013167 ],[31.44100233  0.         24.9046188 ],[62  0 10],[78  0 10]
[15.585499    5.91821887 47.91608139],[31.70577806  0.         25.43567677],[62  0 10],[78  0 10]
[16.65400777  5.90625133 48.99875629],[31.97978195  0.         25.96203334],[62  0 10],[78  0 10]
[17.75059088  5.89057328 50.04850072],[32.26292983  0.         26.48352686],[62  0 10],[78  0 10]
[18.87417369  5.87119914 51.06451538],[32.5551364   0.         27.00000022],[62  0 10],[78  0 10]
[20.02365229  5.8481498  52.04603202],[32.85631194  0.         27.51129482],[62  0 10],[78  0 10]
[21.1979021   5.82144648 52.99232266],[33.16636484  0.         28.01725515],[62  0 10],[78  0 10]
[22.39577522  5.79111438 53.90269638],[33.48520057  0.         28.51772701],[62  0 10],[78  0 10]
[23.61610433  5.75718119 54.77650208],[33.81272232  0.         29.0125584 ],[62  0 10],[78  0 10]
[24.85770262  5.71967877 55.6131276 ],[34.14883052  0.         29.50159887],[62  0 10],[78  0 10]
[26.11936253  5.67864017 56.41199899],[34.49342198  0.         29.98469829],[62  0 10],[78  0 10]
[27.39986416  5.63410136 57.17258632],[34.84639274  0.         30.46171089],[62  0 10],[78  0 10]
[28.69796698  5.58610273 57.89439656],[35.20763414  0.         30.93248986],[62  0 10],[78  0 10]
[30.01242231  5.53468616 58.57698252],[35.57703736  0.         31.39689335],[62  0 10],[78  0 10]
[31.34196439  5.47989597 59.21993539],[35.95448881  0.         31.85477858],[62  0 10],[78  0 10]
[32.68531984  5.42177924 59.82289132],[36.33987421  0.         32.30600691],[62  0 10],[78  0 10]
[34.04120262  5.36038681 60.38552734],[36.7330759   0.         32.75044057],[62  0 10],[78  0 10]
[35.40832118  5.29576985 60.90756441],[37.13397425  0.         33.18794436],[62  0 10],[78  0 10]
[36.78537492  5.2279849  61.38876575],[37.54244672  0.         33.61838452],[62  0 10],[78  0 10]
[38.17106102  5.15708795 61.82893903],[37.95836938  0.         34.0416305 ],[62  0 10],[78  0 10]
[39.56407038  5.08313874 62.22793462],[38.38161554  0.         34.45755334],[62  0 10],[78  0 10]
[40.96309233  5.00620024 62.58564603],[38.81205589  0.         34.86602598],[62  0 10],[78  0 10]
[42.36681525  4.92633582 62.90201069],[39.24955919  0.         35.26692389],[62  0 10],[78  0 10]
[43.77393025  4.84361236 63.17700999],[39.69399291  0.         35.66012564],[62  0 10],[78  0 10]
[45.1831279   4.75809779 63.41066785],[40.14522112  0.         36.04551094],[62  0 10],[78  0 10]
[46.59310498  4.6698623  63.60305205],[40.60310696  0.         36.42296289],[62  0 10],[78  0 10]
[48.00255975  4.57897876 63.75427241],[41.06750991  0.         36.79236568],[62  0 10],[78  0 10]
[49.41020081  4.48552139 63.8644826 ],[41.5382891   0.         37.15360726],[62  0 10],[78  0 10]
[50.81474363  4.38956595 63.93387872],[42.01530154  0.         37.50657789],[62  0 10],[78  0 10]
[52.21491168  4.29118969 63.9626983 ],[42.49840109  0.         37.85116945],[62  0 10],[78  0 10]
[53.60944154  4.19047212 63.95122134],[42.98744122  0.         38.18727742],[62  0 10],[78  0 10]
[54.99708107  4.0874946  63.89976876],[43.48227287  0.         38.51479935],[62  0 10],[78  0 10]
[56.37659035  3.98233842 63.80870288],[43.98274492  0.         38.83363521],[62  0 10],[78  0 10]
[57.74674786  3.87508779 63.6784254 ],[44.48870533  0.         39.14368815],[62  0 10],[78  0 10]
